Input Sentence,STL Extraction Success Rate,STL Parsing Success Rate,Literal Translation Success Rate
"In the mild and moderate groups, IL-6 concentrations were at their highest level in the first week after the symptom onset and then exhibited a decreasing trend.",0.6666666666666667,1.0,0.0
"In the mild and moderate groups, IL-6 concentrations were at their highest level in the first week after the symptom onset and then exhibited a decreasing trend.",0.6666666666666667,1.0,0.0
"In the mild and moderate groups, IL-6 concentrations were at their highest level in the first week after the symptom onset and then exhibited a decreasing trend.",0.33333333333333337,1.0,0.0
"Remarkably, in the mild group, the amount of these cytokines (IL-1β and IL-1Ra) increased at the day 1–7, reached a peak at the day 8–14, and diminished after >14 days.",1.0,1.0,0.0
"Remarkably, in the mild group, the amount of these cytokines (IL-1β and IL-1Ra) increased at the day 1–7, reached a peak at the day 8–14, and diminished after >14 days.",0.6666666666666667,1.0,0.0
"TNF-α levels elevated at the day 1–7 and 8–14 times intervals, then decreased at the day>14.",1.0,1.0,0.0
"TNF-α levels elevated at the day 1–7 and 8–14 times intervals, then decreased at the day>14.",1.0,1.0,0.0
"TNF-α levels elevated at the day 1–7 and 8–14 times intervals, then decreased at the day>14.",1.0,0.0,0.0
We detected that IL-8 was significantly elevated in all COVID-19 subgroups at three studied time intervals compared to the control group.,0.33333333333333337,1.0,0.0
We detected that IL-8 was significantly elevated in all COVID-19 subgroups at three studied time intervals compared to the control group.,0.6666666666666667,1.0,0.0
"We found that although there was no difference in the production of IFN-β in all patients with COVID-19 compared to the control group at the day 1–7, IFN-β levels were higher in moderate, severe, and critical subjects at the day 8–14 or >14 compared to the healthy control and themselves at the day 1–7.",0.33333333333333337,0.0,0.0
"We found that although there was no difference in the production of IFN-β in all patients with COVID-19 compared to the control group at the day 1–7, IFN-β levels were higher in moderate, severe, and critical subjects at the day 8–14 or >14 compared to the healthy control and themselves at the day 1–7.",1.0,0.0,0.0
IL-12 reached its maximum level at the day>14 in mild patients.,0.6666666666666667,1.0,0.0
"It is reported that in recovered cases, within a few hrs of virus entry, both α and β IFNs (at first day of infection) are rapidly produced and an antiviral state is soon reached [23]",1.0,1.0,0.0
"It is reported that in recovered cases, within a few hrs of virus entry, both α and β IFNs (at first day of infection) are rapidly produced and an antiviral state is soon reached [23]",0.33333333333333337,0.0,0.0
"By day 14, we detected no viral reads for SARS-CoV-2, and the observed cytokines returned to baseline, with the exception of IL-6 and IL1RN or IL1RA, which remained elevated, similar to results observed with MERS (Pascal et al., 2015; Figures 3B and 3C).",1.0,1.0,0.0
Overall,0.7291666666666667,0.7714285714285715,0.0
