Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[14,∞](SARSCoV2(t) = c(high))",0.6409619,"globally[14,∞](SARSCoV2(t) = c(high))",0.6409619,"globally[14,∞](SARSCoV2(t) = c(high))",0.6409619,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"SARSCoV2(t) = c(low) and globally[14,∞](IL6(t) = c(low) and IL1RN(t) = c(low))",0.70857203,"SARSCoV2(t) = c(low) and globally[14,∞](IL6(t) = c(low) and IL1RN(t) = c(low))",0.70857203,"SARSCoV2(t) = c(low) and globally[14,∞](IL6(t) = c(low) and IL1RN(t) = c(low))",0.70857203,0
"eventually[14,∞]globally(SARSCoV2(t) < c(low)) and eventually[14,∞]globally(IL6(t) = c(mid) and IL1RN(t) = c(mid))",0.7253765,"eventually[14,∞]globally(SARSCoV2(t) < c(low)) and eventually[14,∞]globally(IL6(t) = c(mid) and IL1RN(t) = c(mid))",0.7253765,"eventually[14,∞]globally(SARSCoV2(t) < c(low)) and eventually[14,∞]globally(IL6(t) = c(mid) and IL1RN(t) = c(mid))",0.7253765,0
